URN,Label,PlateID,Latitude,Longitude,SymbolorNumber,Size,Azimuth
1,Alexander Island,101,-71.62,-68.7,circle,2,0
2,Cotidiano,101,-44.85,-71.5,circle,2,0
3,Tres Lagunas,101,-44.83,-70.83,circle,2,0
4,Cailloma-Arequipa-Peru,101,-15.18,-71.9,circle,2,0
5,Mandawa-Tanzania,101,-9.87,39.17,circle,2,0
6,Wadi Arus-Wadi Hajar-Yemen,101,14.35,48.38,circle,2,0
7,Cat Island Escarpment-Bahamas,101,24.73,-75.51,circle,2,0
8,Off SW Florida-Gulf of Mexico,101,28.5,-87,circle,2,0
9,Brazos County- Texas,101,30.92,-96.08,circle,2,0
10,Torinosu-Sakawa-Japan,101,33.5,133.27,circle,2,0
11,Abukuma-Japan,101,37.83,140.75,circle,2,0
12,Jebel Zaghouan-Tunisia,101,36.33,10.08,circle,2,0
13,Zaghouan-Tunisia,101,36.4,10.17,circle,2,0
14,Eastern Betic Cordillera-Spain,101,37.25,-2.33,circle,2,0
15,Baltimore Canyon Trough II-Atlantic,101,38.75,-72.75,circle,2,0
16,Alrota-Estremadura-Portugal,101,38.98,-9.13,circle,2,0
17,Monzhukly-Nebit Dag-Turkmenia,101,39.28,54.42,circle,2,0
18,Bolishoi Balkhan-Turkmenistan,101,39.62,54.48,circle,2,0
19,Siniscola-Posada-Sardegna-Italy,101,40.6,9.68,circle,2,0
20,Gargano II-Italy,101,41.78,16.03,circle,2,0
21,Suva Planina-Serbia,101,42,20.67,circle,2,0
22,Suva Planina-Serbia,101,42,20.67,circle,2,0
23,Hercegnovi II-Montenegro,101,42.5,18.75,circle,2,0
24,Terek River-Caucasus-Russia,101,42.67,44.5,circle,2,0
25,Bukovik-Montenegro,101,42.92,19.17,circle,2,0
26,Zvonacka banja-Serbia,101,42.92,22.58,circle,2,0
27,Transsylvania-South Carpathians-Rumania,101,45.5,24.67,circle,2,0
28,Piatra Craiului-Romania,101,45.5,25.17,circle,2,0
29,Kursumlija-Serbia,101,43.12,21.28,circle,2,0
30,Lauron-La Nerthe-France,101,43.38,5.28,circle,2,0
31,Taseko Lake-B.C.-Canada,101,51.15,-122.78,circle,2,0
32,Languedoc-France,101,43.5,3.83,circle,2,0
33,Var-Provence-France,101,43.5,6.33,circle,2,0
34,Demascota well-Nova Scotia-Canada,101,43.69,-60.83,circle,2,0
35,Demascota well-Nova Scotia-Canada,101,43.69,-60.83,circle,2,0
36,Provence-France,101,43.75,6,circle,2,0
37,Vrska cuka-Serbia,101,43.82,22.38,circle,2,0
38,Bogovina-Serbia,101,43.88,21.95,circle,2,0
39,Popovac-Serbia,101,43.9,21.53,circle,2,0
40,Cohasset well-Nova Scotia-Canada,101,43.94,-60.5,circle,2,0
41,Rgotina-Serbia,101,44.02,22.27,circle,2,0
42,Bihor Mountains-Romania,101,46.45,22.67,circle,2,0
43,Osterwald-Germany,101,52.53,7.02,circle,2,0
44,Majdanpek-Serbia,101,44.4,21.92,circle,2,0
45,Voskhod-Crimea-Ukraine,101,44.63,33.87,circle,2,0
46,Beograd-Serbia,101,44.67,20.42,circle,2,0
47,Alushta II-Crimea-Ukraine,101,44.88,34.37,circle,2,0
48,SE Crimea-Ukraine,101,45,35,circle,2,0
49,Mecsek Mountains-Hungary,101,46.17,18.25,circle,2,0
50,Dietrichshorn-Salzburg-Austria,101,47.75,13,circle,2,0
51,Ernstbrunn-Austria,101,48.5,16.38,circle,2,0
52,Vel. Pavlovice-Czechia,101,48.9,16.82,circle,2,0
53,Str§nska sk§la-Czechia,101,49.08,16.5,circle,2,0
54,Harrison Lake-B.C.-Canada,101,49.5,-121.92,circle,2,0
55,Stramberk-Czechia,101,49.58,18.12,circle,2,0
56,Isle of Portland-England,101,50.52,-2.43,circle,2,0
57,Wennigsen-Germany,101,52.25,9.57,circle,2,0
